nome_produto,url,categoria,porcao,calorias,carboidratos,proteinas,gorduras_totais,gorduras_saturadas,fibras,acucares,sodio
Vitao Geleia de Uva Zero,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/geleia-de-uva-zero/1-colher-sopa,Produto Vitao,20,16,3.6,0.0,0.0,0.0,0.0,0.0,7
Vitao Chocolate Dark 70% Nibs de Cacau,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/chocolate-dark-70-nibs-de-cacau/1-por%C3%A7%C3%A3o,Produto Vitao,25,142,9.0,2.2,10.0,6.1,2.7,0.1,0
Vitao Cookies Integrais Maçã e Canela,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/cookies-integrais-ma%C3%A7%C3%A3-e-canela/4-unidades,Produto Vitao,30,123,17.0,2.1,4.9,2.6,1.7,1.2,68
Vitao Cookies Maçã Canela Cobertura de Chocolate,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/cookies-ma%C3%A7%C3%A3-canela-cobertura-de-chocolate/5-1-2-unidades,Produto Vitao,30,123,18.0,2.2,4.5,1.6,2.7,0.1,70
Vitao Rosquinha sem Glúten,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/rosquinha-sem-gl%C3%BAten/100g,Produto Vitao,100,450,67.0,2.9,16.0,2.6,6.1,12.0,299
Vitao Bananada com Cobertura Chocolate Meio Amargo,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/bananada-com-cobertura-chocolate-meio-amargo/1-unidade,Produto Vitao,22,35,5.0,0.0,1.4,0.0,1.1,0.0,20
Vitao Flocos de Quinoa,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/flocos-de-quinoa/1-por%C3%A7ao,Produto Vitao,45,162,28.0,6.0,2.7,0.0,3.0,0.0,0
Vitao Açúcar Mascavo,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/a%C3%A7%C3%BAcar-mascavo/1-colher-de-ch%C3%A1,Produto Vitao,5,20,5.0,0.0,0.0,0.0,0.0,5.0,0
Vitao Cookies Integrais Cacau com Gotas de Chocolate,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/cookies-integrais-cacau-com-gotas-de-chocolate/4-unidades,Produto Vitao,30,132,20.0,2.0,4.7,1.2,1.4,0.0,54
Vitao Chocolate Zero com Cereais,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/chocolate-zero-com-cereais/1-unidade,Produto Vitao,30,144,6.2,2.5,8.6,5.3,2.3,0.0,37
Vitao Psyllium,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/psyllium/1-colher-de-sopa,Produto Vitao,10,48,8.0,0.0,0.0,0.0,8.0,0.0,15
Vitao Granola Integral,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/granola-integral/1-por%C3%A7%C3%A3o,Produto Vitao,40,156,23.0,4.4,2.8,0.6,3.1,0.0,0
Vitao Doce de Leite com Cobertura Chocolate Meio Amargo,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/doce-de-leite-com-cobertura-chocolate-meio-amargo/1-por%C3%A7%C3%A3o,Produto Vitao,22,38,4.0,0.6,2.2,0.4,0.0,0.9,14
Vitao Cookies Integrais,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/cookies-integrais/4-unidades,Produto Vitao,30,132,20.0,2.0,4.7,1.2,1.4,0.0,54
Vitao Chocolate Ao Leite Com Cereais,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/chocolate-ao-leite-com-cereais/1-por%C3%A7%C3%A3o,Produto Vitao,30,141,15.0,2.3,9.3,5.5,2.3,2.7,37
Vitao Chocolate Dark 70%,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/chocolate-dark-70/4-quadrados,Produto Vitao,25,167,7.0,2.0,14.5,6.1,3.3,0.0,0
Vitao Cookies Integral de Cacau com Cobertura Sabor Chocolate Branco,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/vitao/cookies-integral-de-cacau-com-cobertura-sabor-chocolate-branco/3-unidades,Produto Vitao,30,122,15.0,1.2,6.2,3.2,0.9,0.0,38
